	Id	KO	KO_definition
s4481	Pa_03340	K07684	two-component_system,_NarL_family,_nitrate/nitrite_response_regulator_NarL
s4482	Pa_03341	K03555	DNA_mismatch_repair_protein_MutS_
s4483	Pa_03342	K03087	RNA_polymerase_nonessential_primary-like_sigma_factor
s4484	Pa_03343	K06194	lipoprotein_NlpD
s4485	Pa_03344	K00573	protein-L-isoaspartate(D-aspartate)_O-methyltransferase_[EC:2.1.1.77]
s4486	Pa_03345	K03787	5'/3'-nucleotidase_[EC:3.1.3.5_3.1.3.6]
s4487	Pa_03347	K06176	tRNA_pseudouridine13_synthase_[EC:5.4.99.27]
s4488	Pa_03348	K01770	1.00E-83_2-C-methyl-D-erythritol_2,4-cyclodiphosphate_synthase_[EC:4.6.1.12]_
s4489	Pa_03349	K00991	2-C-methyl-D-erythritol_4-phosphate_cytidylyltransferase_[EC:2.7.7.60]
s4490	Pa_03350	K05589	cell_division_protein_FtsB
s4491	Pa_03352	K00860	adenylylsulfate_kinase_[EC:2.7.1.25]
s4492	Pa_03353	K00956	sulfate_adenylyltransferase_subunit_1_[EC:2.7.7.4]_
s4493	Pa_03354	K00957	sulfate_adenylyltransferase_subunit_2_[EC:2.7.7.4]_
s4494	Pa_03355	K02302	uroporphyrin-III_C-methyltransferase_/_precorrin-2_dehydrogenase_/_sirohydrochlorin_ferrochelatase_[EC:2.1.1.107_1.3.1.76_4.99.1.4]
s4495	Pa_03355	K02303	uroporphyrin-III_C-methyltransferase_[EC:2.1.1.107]
s4496	Pa_03355	K24866	precorrin-2_dehydrogenase_[EC:1.3.1.76]
s4497	Pa_03356	K09612	alkaline_phosphatase_isozyme_conversion_protein_[EC:3.4.11.-]
s4498	Pa_03357	K09780	uncharacterized_protein
s4499	Pa_03358	K00390	phosphoadenosine_phosphosulfate_reductase_[EC:1.8.4.8_1.8.4.10]_
s4500	Pa_03359	K00381	sulfite_reductase_(NADPH)_hemoprotein_beta-component_[EC:1.8.1.2]
s4501	Pa_03360	K00380	sulfite_reductase_(NADPH)_flavoprotein_alpha-component_[EC:1.8.1.2]
s4502	Pa_03361	K01737	6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin_synthase_[EC:4.2.3.12_4.1.2.50]
s4503	Pa_03362	K10026	7-carboxy-7-deazaguanine_synthase_[EC:4.3.99.3]
s4504	Pa_03363	K10026	7-carboxy-7-deazaguanine_synthase_[EC:4.3.99.3]
s4505	Pa_03364	K01689	enolase_[EC:4.2.1.11]
s4506	Pa_03365	K01937	CTP_synthase_[EC:6.3.4.2]
s4507	Pa_03366	K04765	nucleoside_triphosphate_diphosphatase_[EC:3.6.1.9]
s4508	Pa_03367	K00951	GTP_pyrophosphokinase_[EC:2.7.6.5]
s4509	Pa_03368	K03215	23S_rRNA_(uracil1939-C5)-methyltransferase_[EC:2.1.1.190]
s4510	Pa_03369	K07678	two-component_system,_NarL_family,_sensor_histidine_kinase_BarA_[EC:2.7.13.3]_
s4511	Pa_03370	K00865	glycerate_2-kinase_[EC:2.7.1.165]
s4512	Pa_03371	K00865	glycerate_2-kinase_[EC:2.7.1.165]
s4513	Pa_03372	K00042	2-hydroxy-3-oxopropionate_reductase_[EC:1.1.1.60]
s4514	Pa_03372	K00020	3-hydroxyisobutyrate_dehydrogenase_[EC:1.1.1.31]
s4515	Pa_03373	K01630	2-dehydro-3-deoxyglucarate_aldolase_[EC:4.1.2.20]
s4516	Pa_03373	K02510	4-hydroxy-2-oxoheptanedioate_aldolase_[EC:4.1.2.52]
s4517	Pa_03374	K01706	glucarate_dehydratase_[EC:4.2.1.40]
s4518	Pa_03375	K13918	glucarate_dehydratase-related_protein
s4519	Pa_03375	K01706	glucarate_dehydratase_[EC:4.2.1.40]
s4520	Pa_03376	K03535	MFS_transporter,_ACS_family,_glucarate_transporter
s4521	Pa_03377	K01708	galactarate_dehydratase_[EC:4.2.1.42]
s4522	Pa_03378	K06205	MioC_protein
s4523	Pa_03379	K06175	tRNA_pseudouridine65_synthase_[EC:5.4.99.26]
s4524	Pa_03380	K15723	SecY_interacting_protein_Syd
s4525	Pa_03381	K06879	7-cyano-7-deazaguanine_reductase_[EC:1.7.1.13]
s4526	Pa_03382	K06966	pyrimidine/purine-5'-nucleotide_nucleosidase_[EC:3.2.2.10_3.2.2.-]
s4527	Pa_03383	K01146	protein_Xni
s4528	Pa_03384	K06968	23S_rRNA_(cytidine2498-2'-O)-methyltransferase_[EC:2.1.1.186]
s4529	Pa_03386	K03566	LysR_family_transcriptional_regulator,_glycine_cleavage_system_transcriptional_activator_
s4530	Pa_03388	K01766	cysteine_sulfinate_desulfinase_[EC:4.4.1.-]
s4531	Pa_03389	K02426	cysteine_desulfuration_protein_SufE
s4532	Pa_03390	K22132	tRNA_threonylcarbamoyladenosine_dehydratase
s4533	Pa_03391	K08304	membrane-bound_lytic_murein_transglycosylase_A_[EC:4.2.2.-]
s4534	Pa_03395	K01448	N-acetylmuramoyl-L-alanine_amidase_[EC:3.5.1.28]
s4535	Pa_03396	K14682	amino-acid_N-acetyltransferase_[EC:2.3.1.1]
s4536	Pa_03397	K03581	exodeoxyribonuclease_V_alpha_subunit_[EC:3.1.11.5]_
s4537	Pa_03399	K03582	exodeoxyribonuclease_V_beta_subunit_[EC:3.1.11.5]_
s4538	Pa_03402	K01407	protease_III_[EC:3.4.24.55]
s4539	Pa_03403	K03583	exodeoxyribonuclease_V_gamma_subunit_[EC:3.1.11.5]_
s4540	Pa_03404	K03583	exodeoxyribonuclease_V_gamma_subunit_[EC:3.1.11.5]_
s4541	Pa_03405	K02681	prepilin_peptidase_dependent_protein_C_
s4542	Pa_03407	K02680	prepilin_peptidase_dependent_protein_B_
s4543	Pa_03408	K02679	prepilin_peptidase_dependent_protein_A_
s4544	Pa_03409	K00560	thymidylate_synthase_[EC:2.1.1.45]
s4545	Pa_03410	K13292	phosphatidylglycerol---prolipoprotein_diacylglyceryl_transferase_[EC:2.5.1.145]
s4546	Pa_03411	K08484	phosphotransferase_system,_enzyme_I,_PtsP_[EC:2.7.3.9]
s4547	Pa_03412	K08311	putative_(di)nucleoside_polyphosphate_hydrolase_[EC:3.6.1.-]_
s4548	Pa_03414	K03573	DNA_mismatch_repair_protein_MutH_
s4549	Pa_03421	K02760	cellobiose_PTS_system_EIIB_component_[EC:2.7.1.196_2.7.1.205]
s4550	Pa_03424	K02761	cellobiose_PTS_system_EIIC_component_
s4551	Pa_03426	K02759	cellobiose_PTS_system_EIIA_component_[EC:2.7.1.196_2.7.1.205]
s4552	Pa_03427	K01586	diaminopimelate_decarboxylase_[EC:4.1.1.20]
s4553	Pa_03429	K19577	MFS_transporter,_DHA1_family,_inner_membrane_transport_protein
s4554	Pa_03433	K04567	lysyl-tRNA_synthetase,_class_II_[EC:6.1.1.6]_
s4555	Pa_03434	K02836	peptide_chain_release_factor_2_
s4556	Pa_03436	K07462	single-stranded-DNA-specific_exonuclease_[EC:3.1.-.-]
s4557	Pa_03437	K03981	thiol:disulfide_interchange_protein_DsbC_[EC:5.3.4.1]_
s4558	Pa_03438	K04763	integrase/recombinase_XerD
s4559	Pa_03441	K09159	antitoxin_CptB
s4560	Pa_03444	K11068	3.00E-54_hemolysin_III
s4561	Pa_03446	K01223	6-phospho-beta-glucosidase_[EC:3.2.1.86]
s4562	Pa_03447	K00059	3-oxoacyl-[acyl-carrier_protein]_reductase_[EC:1.1.1.100]
s4563	Pa_03448	K00281	glycine_dehydrogenase_[EC:1.4.4.2]
s4564	Pa_03449	K00281	glycine_dehydrogenase_[EC:1.4.4.2]
s4565	Pa_03450	K02437	glycine_cleavage_system_H_protein_
s4566	Pa_03451	K00605	aminomethyltransferase_[EC:2.1.2.10]
s4567	Pa_03452	K18800	2-polyprenylphenol_6-hydroxylase_[EC:1.14.13.240]
s4568	Pa_03453	K03185	2-octaprenyl-6-methoxyphenol_hydroxylase_[EC:1.14.13.-]
s4569	Pa_03454	K01262	Xaa-Pro_aminopeptidase_[EC:3.4.11.9]
s4570	Pa_03455	K09895	uncharacterized_protein
s4571	Pa_03456	K09888	cell_division_protein_ZapA
s4572	Pa_03457	K01934	5-formyltetrahydrofolate_cyclo-ligase_[EC:6.3.3.2]
s4573	Pa_03458	K00058	D-3-phosphoglycerate_dehydrogenase_/_2-oxoglutarate_reductase_[EC:1.1.1.95_1.1.1.399]
s4574	Pa_03459	K01807	ribose_5-phosphate_isomerase_A_[EC:5.3.1.6]_
s4575	Pa_03460	K05596	LysR_family_transcriptional_regulator,_chromosome_initiation_inhibitor
s4576	Pa_03461	K09807	uncharacterized_protein
s4577	Pa_03462	K06895	L-lysine_exporter_family_protein_LysE/ArgO_
s4578	Pa_03463	K03442	small_conductance_mechanosensitive_channel
s4579	Pa_03464	K01624	fructose-bisphosphate_aldolase,_class_II_[EC:4.1.2.13]_
s4580	Pa_03465	K00927	phosphoglycerate_kinase_[EC:2.7.2.3]
s4581	Pa_03468	K00615	transketolase_[EC:2.2.1.1]
s4582	Pa_03469	K07387	metalloprotease_[EC:3.4.24.-]
s4583	Pa_03471	K01480	agmatinase_[EC:3.5.3.11]
s4584	Pa_03473	K00789	S-adenosylmethionine_synthetase_[EC:2.5.1.6]
s4585	Pa_03474	K08137	MFS_transporter,_SP_family,_galactose:H+_symporter
s4586	Pa_03474	K02100	MFS_transporter,_SP_family,_arabinose:H+_symporter
s4587	Pa_03476	K02840	UDP-D-galactose:(glucosyl)LPS_alpha-1,6-D-galactosyltransferase_[EC:2.4.1.-]
s4588	Pa_03478	K02742	SprT_protein
s4589	Pa_03479	K01150	deoxyribonuclease_I_[EC:3.1.21.1]
s4590	Pa_03480	K09761	3.00E-82_16S_rRNA_(uracil1498-N3)-methyltransferase_[EC:2.1.1.193]_
s4591	Pa_03481	K01920	glutathione_synthase_[EC:6.3.2.3]
s4592	Pa_03482	K07735	putative_transcriptional_regulator
s4593	Pa_03483	K07447	putative_pre-16S_rRNA_nuclease_[EC:3.1.-.-]_
s4594	Pa_03485	K06997	PLP_dependent_protein
s4595	Pa_03486	K02221	YggT_family_protein
s4596	Pa_03487	K01519	XTP/dITP_diphosphohydrolase_[EC:3.6.1.66]
s4597	Pa_03488	K02495	oxygen-independent_coproporphyrinogen_III_oxidase_[EC:1.3.98.3]_
s4598	Pa_03491	K03439	tRNA_(guanine-N7-)-methyltransferase_[EC:2.1.1.33]
s4599	Pa_03492	K03575	A/G-specific_adenine_glycosylase_[EC:3.2.2.31]
s4600	Pa_03494	K08306	membrane-bound_lytic_murein_transglycosylase_C_[EC:4.2.2.-]
s4601	Pa_03497	K19745	acrylyl-CoA_reductase_(NADPH)_[EC:1.3.1.-]
s4602	Pa_03499	K10834	heme_transport_system_ATP-binding_protein_[EC:7.6.2.5]
s4603	Pa_03499	K02013	iron_complex_transport_system_ATP-binding_protein_[EC:7.2.2.-]
s4604	Pa_03500	K25133	heme_transport_system_permease_protein_
s4605	Pa_03501	K25132	heme_transport_system_substrate-binding_protein_
s4606	Pa_03502	K07225	putative_hemin_transport_protein
s4607	Pa_03505	K07401	selenoprotein_W-related_protein
s4608	Pa_03506	K10947	PadR_family_transcriptional_regulator,_regulatory_protein_PadR
s4609	Pa_03507	K07229	ferric-chelate_reductase_(NADPH)_[EC:1.16.1.9]
s4610	Pa_03510	K05804	AraC_family_transcriptional_regulator,_mar-sox-rob_regulon_activator
s4611	Pa_03512	K00426	cytochrome_bd_ubiquinol_oxidase_subunit_II_[EC:7.1.1.7]
s4612	Pa_03513	K00425	cytochrome_bd_ubiquinol_oxidase_subunit_I_[EC:7.1.1.7]
s4613	Pa_03515	K19267	NAD(P)H_dehydrogenase_(quinone)_[EC:1.6.5.2]
s4614	Pa_03516	K01194	alpha,alpha-trehalase_[EC:3.2.1.28]
s4615	Pa_03519	K06884	uncharacterized_protein
s4616	Pa_03522	K03406	methyl-accepting_chemotaxis_protein
s4617	Pa_03524	K05515	penicillin-binding_protein_2_[EC:3.4.16.4]
s4618	Pa_03525	K03784	purine-nucleoside_phosphorylase_[EC:2.4.2.1]
s4619	Pa_03526	K01839	phosphopentomutase_[EC:5.4.2.7]
s4620	Pa_03527	K00758	thymidine_phosphorylase_[EC:2.4.2.4]
s4621	Pa_03528	K01619	deoxyribose-phosphate_aldolase_[EC:4.1.2.4]
s4622	Pa_03529	K03424	TatD_DNase_family_protein_[EC:3.1.21.-]_
s4623	Pa_03532	K04065	hyperosmotically_inducible_periplasmic_protein
s4624	Pa_03533	K02837	peptide_chain_release_factor_3_
s4625	Pa_03534	K14665	amidohydrolase_[EC:3.5.1.-]
s4626	Pa_03538	K02217	ferritin_[EC:1.16.3.2]
s4627	Pa_03541	K08191	MFS_transporter,_ACS_family,_hexuronate_transporter
s4628	Pa_03548	K02011	iron(III)_transport_system_permease_protein_
s4629	Pa_03549	K02012	iron(III)_transport_system_substrate-binding_protein_
s4630	Pa_03554	K21023	diguanylate_cyclase_[EC:2.7.7.65]
s4631	Pa_03555	K21023	diguanylate_cyclase_[EC:2.7.7.65]
s4632	Pa_03558	K07346	fimbrial_chaperone_protein
s4633	Pa_03563	K03559	biopolymer_transport_protein_ExbD
s4634	Pa_03564	K03561	5.00E-54_biopolymer_transport_protein_ExbB_
s4635	Pa_03565	K21395	TRAP-type_transport_system_periplasmic_protein_
s4636	Pa_03566	K21394	TRAP-type_transport_system_small_permease_protein
s4637	Pa_03567	K11690	C4-dicarboxylate_transporter,_DctM_subunit
s4638	Pa_03569	K03975	membrane-associated_protein
s4639	Pa_03571	K06221	2,5-diketo-D-gluconate_reductase_A_[EC:1.1.1.346]
s4640	Pa_03572	K04753	suppressor_of_ftsI
s4641	Pa_03573	K00655	1-acyl-sn-glycerol-3-phosphate_acyltransferase_[EC:2.3.1.51]
s4642	Pa_03574	K02621	topoisomerase_IV_subunit_A_[EC:5.6.2.2]_
s4643	Pa_03575	K01713	cyclohexadienyl_dehydratase_[EC:4.2.1.51_4.2.1.91]
s4644	Pa_03575	K02030	7.00E-28_polar_amino_acid_transport_system_substrate-binding_protein
s4645	Pa_03576	K03923	4.00E-97_NADPH_dehydrogenase_(quinone)_[EC:1.6.5.10]_
s4646	Pa_03582	K07000	uncharacterized_protein
s4647	Pa_03583	K03651	3',5'-cyclic-AMP_phosphodiesterase_[EC:3.1.4.53]
s4648	Pa_03584	K09920	uncharacterized_protein
s4649	Pa_03585	K01515	ADP-ribose_pyrophosphatase_[EC:3.6.1.13_3.6.1.-]
s4650	Pa_03586	K12340	outer_membrane_protein
s4651	Pa_03591	K15777	4,5-DOPA_dioxygenase_extradiol_[EC:1.13.11.-]
s4652	Pa_03592	K02858	3,4-dihydroxy_2-butanone_4-phosphate_synthase_[EC:4.1.99.12]_
s4653	Pa_03593	K09806	ubiquinone_biosynthesis_accessory_factor_UbiK_
s4654	Pa_03594	K03272	D-beta-D-heptose_7-phosphate_kinase_/_D-beta-D-heptose_1-phosphate_adenosyltransferase_[EC:2.7.1.167_2.7.7.70]_
s4655	Pa_03596	K00982	[glutamine_synthetase]_adenylyltransferase_/_[glutamine_synthetase]-adenylyl-L-tyrosine_phosphorylase_[EC:2.7.7.42_2.7.7.89]_
s4656	Pa_03597	K00982	[glutamine_synthetase]_adenylyltransferase_/_[glutamine_synthetase]-adenylyl-L-tyrosine_phosphorylase_[EC:2.7.7.42_2.7.7.89]_
s4657	Pa_03598	K18446	triphosphatase_[EC:3.6.1.25]
s4658	Pa_03599	K07184	SH3_domain_protein
s4659	Pa_03600	K00974	tRNA_nucleotidyltransferase_(CCA-adding_enzyme)_[EC:2.7.7.72_3.1.3.-_3.1.4.-]
s4660	Pa_03601	K06153	undecaprenyl-diphosphatase_[EC:3.6.1.27]
s4661	Pa_03602	K01633	7,8-dihydroneopterin_aldolase/epimerase/oxygenase_[EC:4.1.2.25_5.1.99.8_1.13.11.81]_
s4662	Pa_03603	K08591	acyl_phosphate:glycerol-3-phosphate_acyltransferase_[EC:2.3.1.275]
s4663	Pa_03604	K01409	N6-L-threonylcarbamoyladenine_synthase_[EC:2.3.1.234]
s4664	Pa_03605	K02970	small_subunit_ribosomal_protein_S21_
s4665	Pa_03606	K02316	DNA_primase_[EC:2.7.7.101]
s4666	Pa_03608	K03086	RNA_polymerase_primary_sigma_factor_
s4667	Pa_03609	K03649	double-stranded_uracil-DNA_glycosylase_[EC:3.2.2.28]
s4668	Pa_03610	K16137	TetR/AcrR_family_transcriptional_regulator,_transcriptional_repressor_for_nem_operon_
s4669	Pa_03611	K07124	uncharacterized_protein
s4670	Pa_03634	K01921	D-alanine-D-alanine_ligase_[EC:6.3.2.4]
s4671	Pa_03637	K01673	carbonic_anhydrase_[EC:4.2.1.1]
s4672	Pa_03639	K05810	purine-nucleoside/S-methyl-5'-thioadenosine_phosphorylase_/_adenosine_deaminase_[EC:2.4.2.1_2.4.2.28_3.5.4.4]
s4673	Pa_03640	K00219	2,4-dienoyl-CoA_reductase_(NADPH2)_[EC:1.3.1.34]
s4674	Pa_03641	K11391	23S_rRNA_(guanine1835-N2)-methyltransferase_[EC:2.1.1.174]
s4675	Pa_03641	K00564	16S_rRNA_(guanine1207-N2)-methyltransferase_[EC:2.1.1.172]
s4676	Pa_03645	K22230	scyllo-inositol_2-dehydrogenase_(NADP+)_[EC:1.1.1.-]
s4677	Pa_03646	K05794	tellurite_resistance_protein_TerC
s4678	Pa_03647	K07862	serine/threonine_transporter
s4679	Pa_03649	K01685	altronate_hydrolase_[EC:4.2.1.7]
s4680	Pa_03651	K00041	tagaturonate_reductase_[EC:1.1.1.58]
s4681	Pa_03652	K01812	glucuronate_isomerase_[EC:5.3.1.12]
s4682	Pa_03653	K08191	MFS_transporter,_ACS_family,_hexuronate_transporter
s4683	Pa_03654	K19775	GntR_family_transcriptional_regulator,_hexuronate_regulon_transcriptional_repressor
s4684	Pa_03654	K05799	GntR_family_transcriptional_regulator,_transcriptional_repressor_for_pyruvate_dehydrogenase_complex
s4685	Pa_03655	K03975	membrane-associated_protein
s4686	Pa_03658	K05594	ElaB_protein
s4687	Pa_03661	K15977	putative_oxidoreductase
s4688	Pa_03662	K07393	glutathionyl-hydroquinone_reductase_[EC:1.8.5.7]
s4689	Pa_03663	K07056	16S_rRNA_(cytidine1402-2'-O)-methyltransferase_[EC:2.1.1.198]
s4690	Pa_03664	K07121	uncharacterized_protein
s4691	Pa_03665	K07460	putative_endonuclease
s4692	Pa_03666	K12961	DnaA_initiator-associating_protein
s4693	Pa_03666	K03271	D-sedoheptulose_7-phosphate_isomerase_[EC:5.3.1.28]
s4694	Pa_03667	K04065	hyperosmotically_inducible_periplasmic_protein
s4695	Pa_03668	K06911	quercetin_2,3-dioxygenase_[EC:1.13.11.24]
s4696	Pa_03671	K17463	2-dehydro-3-deoxy-phosphogluconate_aldolase_[EC:4.1.2.14]
s4697	Pa_03672	K01042	L-seryl-tRNA(Ser)_seleniumtransferase_[EC:2.9.1.1]
s4698	Pa_03679	K15536	soluble_cytochrome_b562
s4699	Pa_03680	K03592	PmbA_protein
s4700	Pa_03681	K09889	ribosome-associated_protein
s4701	Pa_03682	K22110	oligogalacturonate-specific_porin_family_protein
s4702	Pa_03683	K02558	UDP-N-acetylmuramate:_L-alanyl-gamma-D-glutamyl-meso-diaminopimelate_ligase_[EC:6.3.2.45]
s4703	Pa_03684	K03841	fructose-1,6-bisphosphatase_I_[EC:3.1.3.11]
s4704	Pa_03686	K03406	methyl-accepting_chemotaxis_protein
s4705	Pa_03689	K01507	inorganic_pyrophosphatase_[EC:3.6.1.1]
s4706	Pa_03691	K09800	translocation_and_assembly_module_TamB_
s4707	Pa_03692	K07278	translocation_and_assembly_module_TamA_
s4708	Pa_03694	K03699	magnesium_and_cobalt_exporter,_CNNM_family
s4709	Pa_03696	K07109	1.00E-88_uncharacterized_protein
s4710	Pa_03697	K01082	3'(2'),_5'-bisphosphate_nucleotidase_[EC:3.1.3.7]
s4711	Pa_03698	K01119	2',3'-cyclic-nucleotide_2'-phosphodiesterase_/_3'-nucleotidase_[EC:3.1.4.16_3.1.3.6]
s4712	Pa_03700	K03773	4.00E-95_FKBP-type_peptidyl-prolyl_cis-trans_isomerase_FklB_[EC:5.2.1.8]
s4713	Pa_03701	K07269	cell_division_protein_YtfB
s4714	Pa_03702	K02939	large_subunit_ribosomal_protein_L9_
s4715	Pa_03703	K02963	small_subunit_ribosomal_protein_S18_
s4716	Pa_03704	K02990	small_subunit_ribosomal_protein_S6_
s4717	Pa_03707	K03406	methyl-accepting_chemotaxis_protein
s4718	Pa_03709	K09456	putative_acyl-CoA_dehydrogenase
s4719	Pa_03710	K03218	23S_rRNA_(guanosine2251-2'-O)-methyltransferase_[EC:2.1.1.185]
s4720	Pa_03711	K12573	ribonuclease_R_[EC:3.1.13.1]
s4721	Pa_03712	K13771	Rrf2_family_transcriptional_regulator,_nitric_oxide-sensitive_transcriptional_repressor
s4722	Pa_03713	K01939	adenylosuccinate_synthase_[EC:6.3.4.4]
s4723	Pa_03714	K09937	uncharacterized_protein
s4724	Pa_03715	K04087	modulator_of_FtsH_protease_HflC_
s4725	Pa_03716	K04088	modulator_of_FtsH_protease_HflK_
s4726	Pa_03717	K03665	GTPase
s4727	Pa_03718	K03666	host_factor-I_protein
s4728	Pa_03720	K00791	tRNA_dimethylallyltransferase_[EC:2.5.1.75]
s4729	Pa_03722	K03572	DNA_mismatch_repair_protein_MutL_
s4730	Pa_03723	K01448	N-acetylmuramoyl-L-alanine_amidase_[EC:3.5.1.28]
s4731	Pa_03724	K06925	tRNA_threonylcarbamoyladenosine_biosynthesis_protein_TsaE_
s4732	Pa_03726	K23997	ADP-dependent_NAD(P)H-hydrate_dehydratase_/_NAD(P)H-hydrate_epimerase_[EC:4.2.1.136_5.1.99.6]
s4733	Pa_03726	K17758	ADP-dependent_NAD(P)H-hydrate_dehydratase_[EC:4.2.1.136]
s4734	Pa_03728	K18979	epoxyqueuosine_reductase_[EC:1.17.99.6]
s4735	Pa_03732	K13288	5.00E-75_oligoribonuclease_[EC:3.1.-.-]
s4736	Pa_03733	K06949	ribosome_biogenesis_GTPase_/_thiamine_phosphate_phosphatase_[EC:3.6.1.-_3.1.3.100]_
s4737	Pa_03734	K01613	phosphatidylserine_decarboxylase_[EC:4.1.1.65]
s4738	Pa_03735	K22051	miniconductance_mechanosensitive_channel
s4739	Pa_03737	K03402	transcriptional_regulator_of_arginine_metabolism_
s4740	Pa_03741	K03623	ribonuclease_inhibitor
s4741	Pa_03742	K00135	succinate-semialdehyde_dehydrogenase_/_glutarate-semialdehyde_dehydrogenase_[EC:1.2.1.16_1.2.1.79_1.2.1.20]
s4742	Pa_03743	K03468	p-hydroxybenzoic_acid_efflux_pump_subunit_AaeB
s4743	Pa_03744	K03468	5.00E-89_p-hydroxybenzoic_acid_efflux_pump_subunit_AaeB
s4744	Pa_03747	K21695	protein_AaeX
s4745	Pa_03748	K21698	LysR_family_transcriptional_regulator,_transcriptional_activator_for_aaeXAB_operon_
s4746	Pa_03749	K03568	TldD_protein
s4747	Pa_03753	K06287	nucleoside_triphosphate_pyrophosphatase_[EC:3.6.1.-]
s4748	Pa_03754	K03570	rod_shape-determining_protein_MreC
s4749	Pa_03754	K03571	rod_shape-determining_protein_MreD
s4750	Pa_03755	K03569	rod_shape-determining_protein_MreB_and_related_proteins
s4751	Pa_03756	K18765	RNase_E_specificity_factor_CsrD_
s4752	Pa_03757	K07147	methionine_sulfoxide_reductase_catalytic_subunit_[EC:1.8.-.-]
s4753	Pa_03758	K17247	methionine_sulfoxide_reductase_heme-binding_subunit_
s4754	Pa_03759	K03786	3-dehydroquinate_dehydratase_II_[EC:4.2.1.10]
s4755	Pa_03760	K02160	acetyl-CoA_carboxylase_biotin_carboxyl_carrier_protein
s4756	Pa_03761	K01961	acetyl-CoA_carboxylase,_biotin_carboxylase_subunit_[EC:6.4.1.2_6.3.4.14]
s4757	Pa_03763	K14392	sodium/pantothenate_symporter
s4758	Pa_03764	K02687	ribosomal_protein_L11_methyltransferase_[EC:2.1.1.-]_
s4759	Pa_03765	K05540	tRNA-dihydrouridine_synthase_B_[EC:1.-.-.-]
s4760	Pa_03766	K03557	Fis_family_transcriptional_regulator,_factor_for_inversion_stimulation_protein_
s4761	Pa_03767	K09969	general_L-amino_acid_transport_system_substrate-binding_protein
s4762	Pa_03768	K09970	general_L-amino_acid_transport_system_permease_protein
s4763	Pa_03769	K09971	general_L-amino_acid_transport_system_permease_protein
s4764	Pa_03770	K09972	general_L-amino_acid_transport_system_ATP-binding_protein_[EC:7.4.2.1]
s4765	Pa_03770	K02028	polar_amino_acid_transport_system_ATP-binding_protein_[EC:7.4.2.1]
s4766	Pa_03777	K01726	gamma-carbonic_anhydrase_[EC:4.2.1.-]
s4767	Pa_03779	K00014	shikimate_dehydrogenase_[EC:1.1.1.25]
s4768	Pa_03780	K07566	L-threonylcarbamoyladenylate_synthase_[EC:2.7.7.87]
s4769	Pa_03781	K07479	putative_DNA_topoisomerase
s4770	Pa_03782	K03747	Smg_protein
s4771	Pa_03783	K04096	DNA_processing_protein
s4772	Pa_03784	K01462	peptide_deformylase_[EC:3.5.1.88]
s4773	Pa_03785	K00604	methionyl-tRNA_formyltransferase_[EC:2.1.2.9]
s4774	Pa_03786	K03500	16S_rRNA_(cytosine967-C5)-methyltransferase_[EC:2.1.1.176]
s4775	Pa_03787	K03499	trk/ktr_system_potassium_uptake_protein_
s4776	Pa_03789	K03282	large_conductance_mechanosensitive_channel
s4777	Pa_03790	K09890	alternative_ribosome-rescue_factor
s4778	Pa_03791	K13638	MerR_family_transcriptional_regulator,_Zn(II)-responsive_regulator_of_zntA
s4779	Pa_03793	K02879	large_subunit_ribosomal_protein_L17_
s4780	Pa_03794	K03040	DNA-directed_RNA_polymerase_subunit_alpha_[EC:2.7.7.6]
s4781	Pa_03795	K03040	DNA-directed_RNA_polymerase_subunit_alpha_[EC:2.7.7.6]
s4782	Pa_03796	K02986	small_subunit_ribosomal_protein_S4_
s4783	Pa_03797	K02948	4.00E-59_small_subunit_ribosomal_protein_S11
s4784	Pa_03798	K02952	small_subunit_ribosomal_protein_S13_
s4785	Pa_03799	K03076	preprotein_translocase_subunit_SecY
s4786	Pa_03800	K02876	large_subunit_ribosomal_protein_L15_
s4787	Pa_03801	K02907	large_subunit_ribosomal_protein_L30_
s4788	Pa_03802	K02988	2.00E-73_small_subunit_ribosomal_protein_S5
s4789	Pa_03803	K02881	large_subunit_ribosomal_protein_L18_
s4790	Pa_03804	K02933	9.00E-77_large_subunit_ribosomal_protein_L6
s4791	Pa_03805	K02994	small_subunit_ribosomal_protein_S8_
s4792	Pa_03806	K02954	small_subunit_ribosomal_protein_S14_
s4793	Pa_03807	K02931	large_subunit_ribosomal_protein_L5_
s4794	Pa_03808	K02895	2.00E-32_large_subunit_ribosomal_protein_L24
s4795	Pa_03809	K02874	large_subunit_ribosomal_protein_L14_
s4796	Pa_03811	K18456	8-oxoguanine_deaminase_[EC:3.5.4.32]
s4797	Pa_03812	K02961	small_subunit_ribosomal_protein_S17_
s4798	Pa_03813	K02904	large_subunit_ribosomal_protein_L29_
s4799	Pa_03814	K02878	large_subunit_ribosomal_protein_L16_
s4800	Pa_03815	K02982	small_subunit_ribosomal_protein_S3_
s4801	Pa_03816	K02890	large_subunit_ribosomal_protein_L22_
s4802	Pa_03817	K02965	small_subunit_ribosomal_protein_S19_
s4803	Pa_03818	K02886	large_subunit_ribosomal_protein_L2_
s4804	Pa_03819	K02892	large_subunit_ribosomal_protein_L23_
s4805	Pa_03820	K02926	large_subunit_ribosomal_protein_L4_
s4806	Pa_03822	K02906	large_subunit_ribosomal_protein_L3_
s4807	Pa_03823	K02946	small_subunit_ribosomal_protein_S10_
